"PlotID","Insects","Landscape","Habitat","Elevation100","Temperature","Annual_Temp_LT","Annual_Prec_LT","time1","time2"
"5636_4_A","1","agriculture","arable field",5.62,15.26,7.761111111,825.2333333,31,51
"5636_4_A","0","agriculture","arable field",5.62,15.26,7.761111111,825.2333333,31,51
"5636_4_F","1","agriculture","forest",6.14,16.62,7.490277778,846.4,31,51
"5636_4_F","0","agriculture","forest",6.14,16.62,7.490277778,846.4,3,30
"5636_4_G","1","agriculture","meadow",5.51,16.64,7.681666667,803.2,31,51
"5636_4_G","0","agriculture","meadow",5.51,16.64,7.681666667,803.2,31,51
"5637_3_G","1","urban","meadow",5.19,16.07,7.689166667,775.1666667,81,95
"5637_3_G","0","urban","meadow",5.19,16.07,7.689166667,775.1666667,81,95
"5637_3_U","0","urban","settlement",5.36,17.66,7.7475,717.2333333,81,95
"5728_2_A","1","agriculture","arable field",2.92,17.76,8.961666667,597.4,31,47
"5728_2_A","0","agriculture","arable field",2.92,17.76,8.961666667,597.4,48,62
"5728_2_F","1","agriculture","forest",3.8,17.59,8.481944444,689.9666667,31,47
"5728_2_F","0","agriculture","forest",3.8,17.59,8.481944444,689.9666667,31,47
"5737_3_A","0","agriculture","arable field",5.45,14.73,7.747777778,818.9,31,49
"5737_3_F","1","agriculture","forest",5.69,14.44,7.755555556,795.6,16,30
"5737_3_F","0","agriculture","forest",5.69,14.44,7.755555556,795.6,31,49
"5837_4_A","1","agriculture","arable field",6.26,15.66,7.49,811.0333333,31,49
"5838_2_A","1","urban","arable field",6.12,16.87,7.268611111,762.0666667,31,46
"5838_2_F","1","urban","forest",6.75,17.17,7.029444444,778.4666667,31,46
"5838_2_F","0","urban","forest",6.75,17.17,7.029444444,778.4666667,33,46
"5838_2_U","1","urban","settlement",5.71,16.33,7.521388889,723,31,46
"5838_2_U","0","urban","settlement",5.71,16.33,7.521388889,723,31,46
"5923_3_G","1","seminatural","meadow",1.68,17.76,10.02055556,774.8,78,91
"5923_3_G","0","seminatural","meadow",1.68,17.76,10.02055556,774.8,30,44
"5924_3_A","1","seminatural","arable field",3.48,18.36,9.085833333,806.1333333,30,44
"5924_3_A","0","seminatural","arable field",3.48,18.36,9.085833333,806.1333333,30,44
"5924_3_F","1","seminatural","forest",2.96,17.42,9.305555556,777.0333333,30,44
"5924_3_F","0","seminatural","forest",2.96,17.42,9.305555556,777.0333333,30,44
"5924_3_U","1","seminatural","settlement",1.82,18.3,9.727777778,699.9333333,30,44
"5924_3_U","0","seminatural","settlement",1.82,18.3,9.727777778,699.9333333,30,44
"5928_2_A","1","agriculture","arable field",2.54,17.66,9.601944444,647.8666667,78,91
